	Episesarma_versicolor1	Episesarma_versicolor2	Episesarma_versicolor3	Parasesarma_affine	Parasesarma_continentale	Orisarma_dehaani1	Orisarma_dehaani2	Orisarma_dehaani3	Orisarma_intermedium	Orisarma_sinense	Clistocoeloma_villosum	Fasciarma_fasciatum	Macrophthalmus_definitus1	Macrophthalmus_definitus2	Macrophthalmus_definitus3	Mictyris_brevidactylus	Metaplax_longipes1	Metaplax_longipes2	Metaplax_longipes3	Metaplax_tredecim1	Metaplax_tredecim2	Metaplax_tredecim3	Metaplax_tredecim4	Gelasimus_borealis1	Gelasimus_borealis2	Gelasimus_borealis3	Tubuca_arcuata1	Tubuca_arcuata2	Paraleptuca_splendida1	Paraleptuca_splendida2	Ocypode_ceratophthalmus	Hemigrapsus_penicillatus	Metopograpsus_frontalis1	Metopograpsus_frontalis2	Metopograpsus_frontalis3	Etisus_laevimanus	Leptodius_affinis	Thalamita_danae1	Thalamita_danae2	Scylla_paramamosain	Epixanthus_frontalis1	Epixanthus_frontalis2	Epixanthus_frontalis3
K00001	4265	45359	3025	7490	1037	13458	1963	1468	529	5896	352	4238	1240	1261	400	3609	246	5957	1425	378	899	1992	916	6948	5575	2358	12343	247	1022	7409	12314	1591	6374	5768	8148	22754	1693	794	431	367	15539	8794	15433
K00002	83	1083	188	116	3	1382	57	140	24	58	7	231	18	42	6	303	138	31	8	12	43	201	24	362	280	108	279	34	81	200	20	15	302	106	238	313	0	41	12	109	4682	2821	6860
K00003	300	10549	744	719	117	2885	974	722	103	2198	212	1839	696	621	193	1003	345	704	1134	137	216	426	282	2194	1598	777	4856	247	548	1947	3218	422	2029	1177	1591	5762	64	311	151	34	7670	2501	4411
K00004	118	4392	266	144	41	129	89	131	0	902	20	341	161	177	55	688	10	368	80	48	76	172	226	2208	1710	355	975	339	108	1051	2194	132	999	419	1048	2096	19	163	1	0	5287	1210	2506
K00005	1395	4635	273	2800	307	3052	154	336	204	1857	66	385	189	258	27	64	173	265	239	56	211	138	95	491	266	178	324	21	70	218	8545	90	694	2366	670	1917	370	113	121	180	5956	2000	5633
K00006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0
K00007	45	3106	48	182	0	82	5	0	0	197	0	46	0	0	0	0	0	0	0	0	40	17	40	0	0	0	56	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0
K00008	593	9654	721	1020	77	1999	676	719	70	926	62	741	465	398	158	819	177	324	246	120	128	675	236	1830	1454	636	2461	270	620	2236	758	182	1645	1122	1489	8400	35	99	48	118	7801	3310	10402
K00009	1269	7601	404	2670	322	5426	191	364	164	733	44	192	18	19	3	11	256	1847	417	67	218	134	217	92	96	2	213	0	116	2762	9721	321	419	2257	1381	3860	709	32	62	40	1146	1927	351
K00010	982	23736	1787	1264	246	6952	1225	962	141	4004	241	2115	824	632	335	2283	318	666	947	157	297	736	368	4358	3206	1494	7480	1084	728	4449	1204	342	2916	1790	3224	14068	609	523	189	165	29444	11921	18753
