	Episesarma_versicolor1	Episesarma_versicolor2	Episesarma_versicolor3	Parasesarma_affine	Parasesarma_continentale	Orisarma_dehaani1	Orisarma_dehaani2	Orisarma_dehaani3	Orisarma_intermedium	Orisarma_sinense	Clistocoeloma_villosum	Fasciarma_fasciatum	Macrophthalmus_definitus1	Macrophthalmus_definitus2	Macrophthalmus_definitus3	Mictyris_brevidactylus	Metaplax_longipes1	Metaplax_longipes2	Metaplax_longipes3	Metaplax_tredecim1	Metaplax_tredecim2	Metaplax_tredecim3	Metaplax_tredecim4	Gelasimus_borealis1	Gelasimus_borealis2	Gelasimus_borealis3	Tubuca_arcuata1	Tubuca_arcuata2	Paraleptuca_splendida1	Paraleptuca_splendida2	Ocypode_ceratophthalmus	Hemigrapsus_penicillatus	Metopograpsus_frontalis1	Metopograpsus_frontalis2	Metopograpsus_frontalis3	Etisus_laevimanus	Leptodius_affinis	Thalamita_danae1	Thalamita_danae2	Scylla_paramamosain	Epixanthus_frontalis1	Epixanthus_frontalis2	Epixanthus_frontalis3
1.-.-.-	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	9	2	0	0	6	0	0	0	0	0
1.1.3.-	33	3647	100	0	11	74	218	11	0	187	42	80	75	94	53	281	0	53	15	18	21	27	25	201	138	69	1206	12	49	235	18	18	137	50	118	563	0	39	0	0	800	3	9
1.1.3.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.3.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.3.38	0	43	1	7	0	0	0	0	0	0	0	43	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	11	9	7	0	0	0	0	0	0	0	0
1.1.3.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0
1.1.3.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
1.1.3.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.99.-	2	18	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.99.18	0	50	0	18	0	6	2	13	0	5	0	0	9	4	0	33	0	0	0	0	0	6	0	4	10	3	12	0	0	19	0	3	23	18	14	26	0	0	0	0	0	0	7
1.1.99.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
1.10.3.-	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	70	32	106	0	0	0	26	0	0	0	563	0	0	0	697	154	0	0	0	0	458	389	268
1.10.3.2	8	90	10	22	4	82	35	24	0	0	0	5	11	6	2	0	0	0	0	0	0	14	1	35	19	8	27	1	0	12	0	0	0	8	0	25	0	0	0	0	35	22	2
1.14.99.54	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.14.99.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
1.6.5.6	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.4.1.-	33	190	5	213	25	24371	8	178	0	45	6	6	13	11	5	50	20	2	5	3	1	93	4	8	9	4	59	6	8	76	0	0	4	20	157	546	0	0	7	34	156	457	40
2.4.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1	1	4	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0
2.4.1.109	0	7	14	0	0	0	0	0	0	0	0	0	3	7	1	0	0	0	0	0	0	0	0	6	9	3	8	0	0	0	0	0	5	3	0	16	0	0	0	0	0	0	0
2.4.1.129	2	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	54	31	16	15	0	190	28	0	0	0	4	26	30	0	60	17	0	9	272	0
2.4.1.13	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	4	5	0	6	0	0	0	0	0	0	0	0
2.4.1.15	0	0	0	0	0	10	1	2	0	0	0	18	0	0	0	1	0	8	2	0	0	0	0	10	0	0	5	0	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0
2.4.1.18	0	0	0	34	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
2.4.1.19	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
2.4.1.20	0	41	2	0	0	2	4	0	0	0	0	0	12	13	0	16	0	5	0	0	0	0	0	0	0	0	6	0	0	2	0	0	26	13	5	0	0	0	0	0	0	0	0
2.4.1.21	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	4	7	0	0	0	0	0	0	0
2.4.1.211	0	42	2	40	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0
2.4.1.213	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.4.1.217	0	41	2	0	0	0	21	0	0	0	0	0	5	0	3	14	4	0	0	0	0	0	0	0	0	0	10	0	0	13	0	13	0	2	0	16	0	0	0	0	0	2	17
2.4.1.245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.4.1.247	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.4.1.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
