	Episesarma_versicolor1	Episesarma_versicolor2	Episesarma_versicolor3	Parasesarma_affine	Parasesarma_continentale	Orisarma_dehaani1	Orisarma_dehaani2	Orisarma_dehaani3	Orisarma_intermedium	Orisarma_sinense	Clistocoeloma_villosum	Fasciarma_fasciatum	Macrophthalmus_definitus1	Macrophthalmus_definitus2	Macrophthalmus_definitus3	Mictyris_brevidactylus	Metaplax_longipes1	Metaplax_longipes2	Metaplax_longipes3	Metaplax_tredecim1	Metaplax_tredecim2	Metaplax_tredecim3	Metaplax_tredecim4	Gelasimus_borealis1	Gelasimus_borealis2	Gelasimus_borealis3	Tubuca_arcuata1	Tubuca_arcuata2	Paraleptuca_splendida1	Paraleptuca_splendida2	Ocypode_ceratophthalmus	Hemigrapsus_penicillatus	Metopograpsus_frontalis1	Metopograpsus_frontalis2	Metopograpsus_frontalis3	Etisus_laevimanus	Leptodius_affinis	Thalamita_danae1	Thalamita_danae2	Scylla_paramamosain	Epixanthus_frontalis1	Epixanthus_frontalis2	Epixanthus_frontalis3
[Frankia] sp. (no class in NCBI)	1	1	0	0	0	14	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
[Leptolyngbya] sp. (no class in NCBI)	0	0	0	5	0	4	0	2	0	0	0	0	19	1	17	0	0	0	0	6	0	8	0	14	18	16	26	0	319	2875	0	0	33	10	65	252	0	26	0	0	0	0	0
[Streptomyces] sp. (no class in NCBI)	83	78	7	8	0	69	158	69	0	148	144	38	0	0	0	47	0	8	0	0	0	0	0	0	0	0	46	0	78	2	0	8	4	2	0	30	0	0	4	0	0	0	12
Abditibacteria	0	16	2	0	0	12	8	20	0	0	0	0	0	0	0	0	100	86	208	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidimicrobiia	11920	971458	34423	17532	5451	3964	8707	1933	99	1295	289	7723	28167	20477	10723	40739	465	25848	310	4137	2163	13244	7555	80200	54211	32669	159788	5394	186291	310086	90	17808	36103	49690	112632	258550	117	983	9447	0	535668	54549	20683
Acidithiobacillia	19	351	31	14	3	16	0	2	0	0	0	117	356	291	111	856	2	1083	56	41	30	69	53	178	154	72	580	19	0	68	0	2	292	99	89	748	9	0	0	0	10	0	44
Acidobacteria bacterium (no class in NCBI)	38	1936	158	514	96	167	403	143	0	122	39	1355	1693	1507	1125	915	56	1126	127	81	88	419	159	611	510	418	16872	206	635	469	6	207	1107	952	328	1632	14	8	40	0	16	111	699
Acidobacteriia	76	2340	116	150	4	24	53	26	4	101	0	513	121	86	42	124	16	680	29	1	42	62	24	166	121	86	2181	52	586	526	6	12	204	148	133	607	8	4	0	0	65	66	305
Actinomycetia	60470	6349893	270778	99367	26770	1189907	1765239	568066	9394	3372650	231213	565205	68067	37061	24166	103791	2944	44041	3304	16527	7453	57591	53123	101916	83800	48933	2308682	33110	204231	274652	2236	15960	43241	173267	108234	149228	2423	4446	80320	984	107603	21302	36734
Alphaproteobacteria	324442	7464474	909651	536429	195531	693656	429213	108977	69492	2216463	46407	1281345	383271	270637	144345	736712	115328	497690	153391	131916	195401	468159	250046	1397605	1028993	611440	2085257	180600	621401	1383525	167107	412190	1353864	1100697	1644966	6557712	20435	163597	97360	6202	4482292	1161510	778538
Anaerolineae	1626	139424	3042	844	535	767	401	576	99	252	142	190	7049	8515	3346	6889	48	2140	593	506	337	2592	888	1878	1466	851	46549	2068	5868	5035	8	148	1598	2628	1996	5232	1738	266	422	18	50524	2946	15743
Aquificae	255890	47936	219086	112528	23130	139388	201535	122207	304054	194566	472495	703514	218839	168002	259159	630103	270503	524199	365614	869564	843117	663895	802017	413073	420359	434077	96254	131477	163083	94810	345862	758161	441941	523880	658842	342095	701218	159893	191732	1530	537869	598118	524533
Ardenticatenia	10	2235	82	20	22	32	8	30	0	0	20	32	120	128	44	481	0	16	0	8	28	114	38	171	203	93	2687	249	879	561	18	72	225	238	182	391	166	8	0	0	124	32	753
Armatimonadetes bacterium (no class in NCBI)	6	346	7	15	6	0	2	2	0	0	0	6	26	33	10	75	0	0	0	4	4	2	18	33	21	14	138	4	52	63	0	8	19	60	41	148	0	0	0	0	14	0	8
Armatimonadia	0	38	4	28	11	32	33	21	0	10	0	24	35	29	16	85	0	4	16	4	7	12	3	84	66	37	170	4	0	37	0	0	65	30	42	117	0	0	0	0	19	0	34
Bacilli	37672	32687	31928	56361	578	110061	57395	436873	25942	66534	49382	59897	16976	14665	17900	62132	57297	120345	78458	81356	71658	76730	85440	33485	31118	24444	31978	18764	6654	33473	132099	93779	36258	40098	47177	75958	14264	4486	38919	60297	118221	40803	191403
Bacteriodetes bacterium (no class in NCBI)	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium 336/3 (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium ADurb.Bin425 (no class in NCBI)	0	0	0	0	0	6	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium ADurb.Bin429 (no class in NCBI)	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium ADurb.Bin431 (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium ADurb.BinA028 (no class in NCBI)	0	0	0	0	0	33	28	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium AH-315-E10 (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium AH-315-K03 (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0
bacterium AMD01 (no class in NCBI)	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium AMD02 (no class in NCBI)	0	0	0	0	0	34	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium BFN5 (no class in NCBI)	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium BMS3Abin11 (no class in NCBI)	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium BMS3Bbin10 (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0
bacterium BMS3Bbin11 (no class in NCBI)	0	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium endosymbiont of Escarpia laminata (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0
bacterium HR12 (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	44	23	31	0	0	0	0	0	0	0	0
bacterium HR29 (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium HR39 (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium J17 (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
bacterium JGI (no class in NCBI)	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium M21 (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
bacterium MnTg02 (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0
bacterium MnTg03 (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	55	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium NHP-B (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	61	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0
bacterium SCGC (no class in NCBI)	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium symbiont of Theonella swinhoei pTSMAC1 (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium TMED277 (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	4	0	2	0	0	0	19	0	6	8	4	0	10	0	0	0	0	0	0	0
bacterium TMED88 (no class in NCBI)	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	6	63	2	0	23	0	0	0	0	0	0	0
Bacteroidetes bacterium (no class in NCBI)	134	1139	235	186	169	43	8	4	192	35	0	357	3066	3830	1561	1798	10	51	84	602	1466	2713	484	13788	10178	5505	255	37	54	890	132	407	7844	1949	1889	2325	163	1156	22	76	322	276	352
Bacteroidetes Order II. Incertae sedis (no class in NCBI)	6	213	18	15	0	8	6	0	11	0	0	20	15	17	4	36	0	4	0	8	79	11	67	72	47	55	76	10	16	60	0	18	107	42	64	261	0	9	0	0	41	8714	5504
Bacteroidia	330022	3272232	561828	798402	940	178663	376	5344	85168	2565	32783	269991	1643	1921	649	19256	53824	183715	605345	93098	50134	252271	198371	68498	52787	3198	168442	84072	1353	7890	2632	22460	11977	4045	8248	6418	1317	2194	719	43151	5866542	3702679	6337202
Balneolia	24	902	65	122	22	21	4	2	10	10	6	30	121	150	44	315	2	114	215	38	32	185	82	258	163	100	475	31	0	114	82	44	1026	254	127	579	38	93	34	0	42	4290	125
Bathymodiolus brooksi thiotrophic gill symbiont (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
Betaproteobacteria	5060	61474	5025	30085	1207	129814	13025	6597	1450	124538	1203	116459	14353	17280	7807	23249	1950	257027	10136	2038	2744	6201	3668	21514	16507	10505	1315057	14413	7447	11925	2729	3588	26403	12560	14945	86690	1379	1785	3779	65	13139	5308	16518
Blastocatellia	2	392	13	212	0	133	91	99	0	9	8	109	77	64	18	352	2	48	22	0	3	32	5	128	63	60	567	4	0	182	0	8	125	96	30	282	23	22	49	0	11691	33	160
Caldilineae	255	2766	437	90	8	62	23	38	0	47	0	14	205	185	77	1404	0	46	1	17	176	100	28	421	323	222	3621	57	876	985	0	8	119	220	454	481	417	0	6	0	38	8	305
