	Episesarma_versicolor1	Episesarma_versicolor2	Episesarma_versicolor3	Parasesarma_affine	Parasesarma_continentale	Orisarma_dehaani1	Orisarma_dehaani2	Orisarma_dehaani3	Orisarma_intermedium	Orisarma_sinense	Clistocoeloma_villosum	Fasciarma_fasciatum	Macrophthalmus_definitus1	Macrophthalmus_definitus2	Macrophthalmus_definitus3	Mictyris_brevidactylus	Metaplax_longipes1	Metaplax_longipes2	Metaplax_longipes3	Metaplax_tredecim1	Metaplax_tredecim2	Metaplax_tredecim3	Metaplax_tredecim4	Gelasimus_borealis1	Gelasimus_borealis2	Gelasimus_borealis3	Tubuca_arcuata1	Tubuca_arcuata2	Paraleptuca_splendida1	Paraleptuca_splendida2	Ocypode_ceratophthalmus	Hemigrapsus_penicillatus	Metopograpsus_frontalis1	Metopograpsus_frontalis2	Metopograpsus_frontalis3	Etisus_laevimanus	Leptodius_affinis	Thalamita_danae1	Thalamita_danae2	Scylla_paramamosain	Epixanthus_frontalis1	Epixanthus_frontalis2	Epixanthus_frontalis3
[Frankia] sp. (no family in NCBI)	1	1	0	0	0	14	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
[Leptolyngbya] sp. (no family in NCBI)	0	0	0	5	0	4	0	2	0	0	0	0	19	1	17	0	0	0	0	6	0	8	0	14	18	16	26	0	319	2875	0	0	33	10	65	252	0	26	0	0	0	0	0
[Streptomyces] sp. (no family in NCBI)	83	78	7	8	0	69	158	69	0	148	144	38	0	0	0	47	0	8	0	0	0	0	0	0	0	0	46	0	78	2	0	8	4	2	0	30	0	0	4	0	0	0	12
Abitibacteriaceae	0	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	100	86	208	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthopleuribacteraceae	0	4	0	0	0	0	0	0	0	0	0	14	0	0	0	11	0	0	0	0	0	0	18	6	2	0	18	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
Acaryochloridaceae	0	15	0	0	2	0	0	0	0	0	0	0	18	13	1	81	0	10	2	2	2	4	5	0	0	0	59	2	0	346	0	24	4	8	19	109	0	0	0	0	0	0	0
Acetobacteraceae	71	2156	200	8780	83	8110	5536	1212	79	2237	22	31570	187	120	90	98	41	582	53	42	120	216	160	386	285	105	107274	1159	672	797	63	89	1966	8539	1435	1584	59	20	196	0	344	169	398
Acholeplasmataceae	4	12	40	313	0	119	0	4	164	162	92	78	5	22	3	169	0	0	0	0	2	7	103	95	67	27	35	15	0	4	48	11	33	4	14	118	8	10	10	0	576	134	723
Acidaminococcaceae	2	33	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	40	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2
Acidiferrobacteraceae	4	74	16	0	10	0	0	0	0	7	0	0	6	13	7	34	0	27	4	1	10	26	6	27	13	8	190	0	0	2	134	6	68	30	29	523	0	0	0	0	105	4	26
Acidimicrobiaceae	511	37939	1284	1978	133	362	453	104	0	20	16	278	882	659	277	1042	20	1803	19	159	85	554	293	1704	1147	747	11311	93	6293	9100	0	707	1519	2017	2431	9230	8	110	295	0	18831	2616	2968
Acidimicrobiales bacterium (no family in NCBI)	46	8177	313	175	24	119	121	36	0	130	10	128	280	147	89	551	8	106	14	8	6	62	32	283	202	124	2372	29	1419	2178	0	46	124	194	342	775	0	0	89	0	2421	117	84
Acidimicrobiia bacterium (no family in NCBI)	46	1984	105	31	18	523	463	571	0	71	0	125	286	288	145	253	6	69	4	28	25	50	31	276	230	111	1509	94	530	781	0	134	196	273	507	780	0	52	20	0	1359	34	325
Acidithiobacillaceae	1	85	5	4	3	0	0	0	0	0	0	112	11	21	5	35	0	0	0	13	13	4	8	2	4	2	168	15	0	4	0	0	21	16	20	183	9	0	0	0	0	0	16
Acidithiobacillales bacterium (no family in NCBI)	8	65	12	6	0	0	0	0	0	0	0	0	65	50	17	151	2	635	28	0	2	6	2	25	19	13	102	0	0	22	0	0	107	40	11	0	0	0	0	0	0	0	0
Acidobacteria bacterium (no family in NCBI)	38	1936	158	514	96	167	403	143	0	122	39	1355	1693	1507	1125	915	56	1126	127	81	88	419	159	611	510	418	16872	206	635	469	6	207	1107	952	328	1632	14	8	40	0	16	111	699
Acidobacteriaceae	20	412	2	39	0	2	16	10	0	22	0	12	0	4	0	22	6	18	0	0	34	0	10	24	11	31	236	5	68	38	0	0	10	9	12	53	0	0	0	0	4	0	0
Acidobacteriales bacterium (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacteriia bacterium (no family in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	8
Acidothermaceae	0	0	0	0	0	6	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria bacterium (no family in NCBI)	127	14446	296	378	145	7148	17584	4781	0	470	36	2330	417	317	147	378	8	173	22	120	75	321	124	1110	993	575	27446	419	1547	2193	6	102	356	566	1260	3099	19	30	119	0	2744	99	2022
Actinomycetaceae	4	1099	80	88	17	188	217	82	0	423	33	114	12	10	6	51	0	18	0	12	3	47	84	24	23	12	437	10	152	162	0	6	23	79	92	245	0	0	52	0	362	4	69
