	Episesarma_versicolor1	Episesarma_versicolor2	Episesarma_versicolor3	Parasesarma_affine	Parasesarma_continentale	Orisarma_dehaani1	Orisarma_dehaani2	Orisarma_dehaani3	Orisarma_intermedium	Orisarma_sinense	Clistocoeloma_villosum	Fasciarma_fasciatum	Macrophthalmus_definitus1	Macrophthalmus_definitus2	Macrophthalmus_definitus3	Mictyris_brevidactylus	Metaplax_longipes1	Metaplax_longipes2	Metaplax_longipes3	Metaplax_tredecim1	Metaplax_tredecim2	Metaplax_tredecim3	Metaplax_tredecim4	Gelasimus_borealis1	Gelasimus_borealis2	Gelasimus_borealis3	Tubuca_arcuata1	Tubuca_arcuata2	Paraleptuca_splendida1	Paraleptuca_splendida2	Ocypode_ceratophthalmus	Hemigrapsus_penicillatus	Metopograpsus_frontalis1	Metopograpsus_frontalis2	Metopograpsus_frontalis3	Etisus_laevimanus	Leptodius_affinis	Thalamita_danae1	Thalamita_danae2	Scylla_paramamosain	Epixanthus_frontalis1	Epixanthus_frontalis2	Epixanthus_frontalis3
[Frankia] sp. (no order in NCBI)	1	1	0	0	0	14	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
[Leptolyngbya] sp. (no order in NCBI)	0	0	0	5	0	4	0	2	0	0	0	0	19	1	17	0	0	0	0	6	0	8	0	14	18	16	26	0	319	2875	0	0	33	10	65	252	0	26	0	0	0	0	0
[Streptomyces] sp. (no order in NCBI)	83	78	7	8	0	69	158	69	0	148	144	38	0	0	0	47	0	8	0	0	0	0	0	0	0	0	46	0	78	2	0	8	4	2	0	30	0	0	4	0	0	0	12
Abditibacteriales	0	16	2	0	0	6	8	4	0	0	0	0	0	0	0	0	100	86	208	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthopleuribacterales	0	29	2	0	0	0	0	0	0	0	0	14	2	6	0	11	0	8	0	0	0	0	18	6	18	2	18	0	0	6	0	0	8	0	0	18	0	0	0	0	0	0	58
Acholeplasmatales	4	37	40	625	0	165	10	14	211	353	98	78	8	74	9	183	0	0	0	2	8	7	316	223	244	190	94	15	0	4	48	19	56	13	34	235	8	10	10	33	629	149	841
Acidaminococcales	2	33	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	8	0	40	0	0	0	3	0	0	0	0	0	10	0	0	3	0	0	0	0	0	0	2
Acidiferrobacterales	4	76	16	0	10	0	0	0	0	7	0	0	28	23	17	61	0	27	4	1	10	26	6	36	17	12	241	0	0	2	134	6	96	30	29	535	0	0	0	0	105	4	26
Acidimicrobiales	8948	724766	25633	13835	3671	2125	2630	674	67	761	100	4452	17198	12263	6373	26325	214	12276	179	2732	1490	9433	5672	60163	40667	24966	106031	3179	147740	250368	76	13752	26803	35605	88947	193548	68	550	7822	0	293717	38371	9589
Acidimicrobiia bacterium (no order in NCBI)	46	1984	105	31	18	523	463	571	0	71	0	125	286	288	145	253	6	69	4	28	25	50	31	276	230	111	1509	94	530	781	0	134	196	273	507	780	0	52	20	0	1359	34	325
Acidithiobacillales	17	331	31	14	3	0	0	0	0	0	0	112	317	251	97	769	2	1083	56	41	30	69	53	174	142	66	528	19	0	68	0	2	276	98	69	683	9	0	0	0	10	0	44
