	Episesarma_versicolor1	Episesarma_versicolor2	Episesarma_versicolor3	Parasesarma_affine	Parasesarma_continentale	Orisarma_dehaani1	Orisarma_dehaani2	Orisarma_dehaani3	Orisarma_intermedium	Orisarma_sinense	Clistocoeloma_villosum	Fasciarma_fasciatum	Macrophthalmus_definitus1	Macrophthalmus_definitus2	Macrophthalmus_definitus3	Mictyris_brevidactylus	Metaplax_longipes1	Metaplax_longipes2	Metaplax_longipes3	Metaplax_tredecim1	Metaplax_tredecim2	Metaplax_tredecim3	Metaplax_tredecim4	Gelasimus_borealis1	Gelasimus_borealis2	Gelasimus_borealis3	Tubuca_arcuata1	Tubuca_arcuata2	Paraleptuca_splendida1	Paraleptuca_splendida2	Ocypode_ceratophthalmus	Hemigrapsus_penicillatus	Metopograpsus_frontalis1	Metopograpsus_frontalis2	Metopograpsus_frontalis3	Etisus_laevimanus	Leptodius_affinis	Thalamita_danae1	Thalamita_danae2	Scylla_paramamosain	Epixanthus_frontalis1	Epixanthus_frontalis2	Epixanthus_frontalis3
[Frankia] sp. (no phylum in NCBI)	1	1	0	0	0	14	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
[Streptomyces] sp. (no phylum in NCBI)	83	78	7	8	0	69	158	69	0	148	144	38	0	0	0	47	0	8	0	0	0	0	0	0	0	0	46	0	78	2	0	8	4	2	0	30	0	0	4	0	0	0	12
Abditibacteriota	0	16	2	0	0	12	8	20	0	0	0	0	0	0	0	0	100	86	208	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacteria	2336	80755	3938	12944	2018	1396	4759	816	294	2246	1302	14706	19473	18934	9099	42103	869	28760	2993	2302	1844	15419	5922	15429	11707	8891	515775	8500	10483	12124	116	4148	24601	26006	8731	40516	710	432	262	0	1232207	16296	190935
Actinobacteria	97702	10327813	381592	152450	49031	1251905	1889040	898853	11530	3426742	251516	623321	165757	107436	61772	258154	5940	161494	5722	33085	16243	103408	77780	332108	246520	150397	2962478	56040	739315	1137626	5712	61724	146057	327026	388144	808419	3449	8521	107912	1153	3805997	160190	120470
Aquificae	255890	47936	219086	112528	23130	139388	201535	122207	304054	194566	472495	703514	218839	168002	259159	630103	270503	524199	365614	869564	843117	663895	802017	413073	420359	434077	96254	131477	163083	94810	345862	758161	441941	523880	658842	342095	701218	159893	191732	1530	537869	598118	524533
Armatimonadetes	206	8668	449	864	137	90	85	62	0	91	28	252	915	649	341	2405	104	149	52	80	57	321	123	1553	1373	840	1903	107	351	1339	36	54	813	1125	1743	4087	61	91	10	0	212	179	478
bacterium 336/3 (no phylum in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium ADurb.Bin425 (no phylum in NCBI)	0	0	0	0	0	6	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium ADurb.Bin429 (no phylum in NCBI)	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium ADurb.Bin431 (no phylum in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium ADurb.BinA028 (no phylum in NCBI)	0	0	0	0	0	33	28	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium AH-315-E10 (no phylum in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium AH-315-K03 (no phylum in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0
bacterium AMD01 (no phylum in NCBI)	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
