	Episesarma_versicolor1	Episesarma_versicolor2	Episesarma_versicolor3	Parasesarma_affine	Parasesarma_continentale	Orisarma_dehaani1	Orisarma_dehaani2	Orisarma_dehaani3	Orisarma_intermedium	Orisarma_sinense	Clistocoeloma_villosum	Fasciarma_fasciatum	Macrophthalmus_definitus1	Macrophthalmus_definitus2	Macrophthalmus_definitus3	Mictyris_brevidactylus	Metaplax_longipes1	Metaplax_longipes2	Metaplax_longipes3	Metaplax_tredecim1	Metaplax_tredecim2	Metaplax_tredecim3	Metaplax_tredecim4	Gelasimus_borealis1	Gelasimus_borealis2	Gelasimus_borealis3	Tubuca_arcuata1	Tubuca_arcuata2	Paraleptuca_splendida1	Paraleptuca_splendida2	Ocypode_ceratophthalmus	Hemigrapsus_penicillatus	Metopograpsus_frontalis1	Metopograpsus_frontalis2	Metopograpsus_frontalis3	Etisus_laevimanus	Leptodius_affinis	Thalamita_danae1	Thalamita_danae2	Scylla_paramamosain	Epixanthus_frontalis1	Epixanthus_frontalis2	Epixanthus_frontalis3
[Acidovorax] sp.	0	0	0	0	0	0	8	0	0	32	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Bacillus] sp.	0	0	0	0	0	21	38	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	4	2	0	0	0	0	0	0	0	0
[Clostridium] sp.	0	0	0	8	0	144	6	11	10	22	0	42	0	0	0	104	0	0	0	0	0	0	12	0	0	0	2	4	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0
[Flavobacterium] sp.	15	27	17	12	0	55	8	8	0	96	0	3565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	58	0	22	10	0	47	26	2	0	0	0	23	0	10	12	10
[Frankia] sp.	1	1	0	0	0	14	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
[Leptolyngbya] sp.	0	0	0	5	0	4	0	2	0	0	0	0	19	1	17	0	0	0	0	6	0	8	0	14	18	16	26	0	319	2875	0	0	33	10	65	252	0	26	0	0	0	0	0
[Lysobacter] sp.	0	0	0	0	0	0	4	4	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	27	14	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Micrococcus luteus]	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Nocardiopsis] sp.	0	66	0	0	2	0	0	0	0	0	0	0	2	3	0	0	0	0	0	2	0	4	6	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0
[Ochrobactrum] quorumnocens	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
